lote,dia,progreso,temperatura,humedad,ph,calidad
33,39,1.0,13.138,57.6943,6.5184,aceptable
34,1,0.008333333333333333,46.772,54.586,6.5217,deficiente
34,3,0.025,59.697,62.574,7.2867,deficiente
34,7,0.058333333333333334,52.406,41.539,7.2504,deficiente
34,14,0.11666666666666667,50.749,27.81,7.3655,deficiente
34,21,0.175,26.722,24.601,7.7476,deficiente
34,35,0.2916666666666667,24.568,26.17,7.783,optimo
34,49,0.4083333333333333,29.207,34.752,7.4718,aceptable
34,63,0.525,22.082,37.684,7.7958,optimo
34,84,0.7,16.945,38.48,7.3399,optimo
34,120,1.0,10.317,45.13,6.8543,optimo
35,1,0.047619047619047616,21.115,60.793,6.89037,deficiente
35,5,0.23809523809523808,56.334,59.984,6.38475,deficiente
35,9,0.42857142857142855,56.487,55.461,6.648,aceptable
35,13,0.6190476190476191,33.264,54.122,6.74144,aceptable
35,17,0.8095238095238095,25.236,53.314,6.84432,optimo
35,21,1.0,23.7,52.771,6.91417,optimo
36,1,0.047619047619047616,21.246,49.584,6.51301,deficiente
36,5,0.23809523809523808,58.282,48.178,6.59702,deficiente
36,9,0.42857142857142855,47.267,45.712,6.5678,aceptable
36,13,0.6190476190476191,28.979,44.837,6.74145,aceptable
36,17,0.8095238095238095,23.418,44.028,6.68865,optimo
36,21,1.0,24.09,43.087,6.76794,optimo
37,1,0.047619047619047616,22.414,55.885,6.71583,deficiente
37,5,0.23809523809523808,56.594,54.744,6.87531,deficiente
37,9,0.42857142857142855,48.176,50.487,6.80837,aceptable
37,13,0.6190476190476191,32.226,48.617,6.8971,aceptable
37,17,0.8095238095238095,23.288,47.941,6.91034,optimo
37,21,1.0,23.571,47.597,6.99908,optimo
38,1,0.047619047619047616,22.154,60.594,6.43753,deficiente
38,5,0.23809523809523808,59.191,61.311,6.11587,deficiente
38,9,0.42857142857142855,50.124,56.125,6.25177,aceptable
38,13,0.6190476190476191,30.797,55.449,6.33578,aceptable
38,17,0.8095238095238095,23.287,54.044,6.47638,aceptable
38,21,1.0,23.701,53.566,6.40945,aceptable
39,1,0.047619047619047616,23.323,50.977,6.71585,deficiente
39,5,0.23809523809523808,58.023,50.102,7.21023,deficiente
39,9,0.42857142857142855,52.072,48.232,7.11027,aceptable
39,13,0.6190476190476191,26.121,45.699,6.86408,aceptable
39,17,0.8095238095238095,25.496,44.89,6.7877,optimo
39,21,1.0,23.96,44.347,6.82456,optimo
40,1,0.047619047619047616,21.375,54.624,6.82433,deficiente
40,5,0.23809523809523808,62.828,53.75,7.34229,deficiente
40,9,0.42857142857142855,55.189,49.757,7.05838,aceptable
40,13,0.6190476190476191,28.589,48.02,6.96314,optimo
40,17,0.8095238095238095,25.236,46.814,7.10846,optimo
40,21,1.0,24.61,45.342,7.05097,optimo
41,1,0.047619047619047616,19.428,58.936,6.78186,deficiente
41,5,0.23809523809523808,48.672,59.786,6.01683,deficiente
41,9,0.42857142857142855,52.851,58.048,6.14328,aceptable
41,13,0.6190476190476191,28.199,56.245,6.38766,aceptable
41,17,0.8095238095238095,24.976,54.508,6.52356,aceptable
41,21,1.0,23.441,54.031,6.43302,aceptable
42,1,0.047619047619047616,21.765,49.915,6.71111,deficiente
42,5,0.23809523809523808,56.204,50.168,7.37531,aceptable
42,9,0.42857142857142855,43.89,48.298,7.12442,aceptable
42,13,0.6190476190476191,26.252,45.765,7.10464,aceptable
42,17,0.8095238095238095,25.366,44.824,6.99997,aceptable
42,21,1.0,23.441,44.612,6.91887,optimo
43,1,0.047619047619047616,20.207,54.956,6.71112,deficiente
43,5,0.23809523809523808,53.347,55.806,6.05455,aceptable
43,9,0.42857142857142855,30.124,54.4,6.18573,deficiente
43,13,0.6190476190476191,24.953,53.061,6.32162,aceptable
43,17,0.8095238095238095,25.626,51.921,6.42922,aceptable
43,21,1.0,24.221,50.582,6.38586,aceptable
44,0,0.0,20.59,55.3021,6.85301,deficiente
44,3,0.2,58.004,55.468,7.50988,deficiente
44,6,0.4,58.105,45.4325,7.17724,deficiente
44,9,0.6,45.395,44.8104,7.10613,aceptable
44,12,0.8,26.217,44.4372,7.0562,optimo
44,15,1.0,25.324,44.3128,7.00392,optimo
45,0,0.0,20.59,55.5095,6.8648,deficiente
45,3,0.2,60.119,56.1315,7.63003,deficiente
45,6,0.4,59.971,46.096,7.34216,aceptable
45,9,0.6,43.032,45.1836,7.0378,aceptable
45,12,0.8,28.208,44.9348,6.99023,optimo
45,15,1.0,24.826,44.6031,6.93325,optimo
46,0,0.0,20.59,55.0948,6.83415,deficiente
46,3,0.2,60.118,54.1825,7.3379,deficiente
46,6,0.4,60.22,44.3543,7.06651,deficiente
46,9,0.6,33.206,43.2346,6.9789,aceptable
46,12,0.8,25.098,42.8199,7.01144,optimo
46,15,1.0,23.831,42.032,7.06048,optimo
47,0,0.0,17.09,61.869,7.0327,deficiente
47,5,0.2,23.115,65.064,8.3647,deficiente
47,10,0.4,21.325,62.69,9.1681,deficiente
47,15,0.6,22.797,64.158,8.9329,deficiente
47,20,0.8,18.094,62.285,8.4699,deficiente
47,25,1.0,19.449,61.693,8.7358,aceptable
48,0,0.0,9.515,59.253,6.5316,deficiente
48,5,0.2,22.182,63.449,6.1414,deficiente
48,10,0.4,21.558,55.396,8.339,deficiente
48,15,0.6,23.612,59.202,8.9602,deficiente
48,20,0.8,19.957,59.167,8.4152,deficiente
48,25,1.0,18.284,61.136,8.8178,optimo
49,0,0.0,13.478,57.75,5.6478,deficiente
49,5,0.2,16.589,57.77,5.3396,deficiente
49,10,0.4,15.149,50.273,5.3139,deficiente
49,15,0.6,18.718,61.875,5.2518,deficiente
49,20,0.8,18.56,58.499,7.0667,deficiente
49,25,1.0,25.275,58.853,8.5991,aceptable
50,0,0.0,32.708,47.962,7.1637,deficiente
50,3,0.075,39.242,46.549,7.0879,deficiente
50,7,0.175,52.309,45.755,7.5453,deficiente
50,14,0.35,35.684,44.031,7.1788,aceptable
50,21,0.525,33.311,44.167,7.3211,aceptable
50,27,0.675,25.619,42.753,7.1485,aceptable
50,34,0.85,23.004,40.874,8.2843,optimo
50,40,1.0,17.969,37.601,8.5235,optimo
51,0,0.0,32.224,51.526,7.0669,deficiente
51,3,0.075,38.276,49.183,7.3787,deficiente
51,7,0.175,54.0,47.924,7.5453,deficiente
51,14,0.35,38.1,47.749,7.4696,aceptable
51,21,0.525,33.795,46.491,7.4665,aceptable
51,27,0.675,26.343,44.457,7.0759,aceptable
51,34,0.85,22.763,42.423,8.2116,optimo
51,40,1.0,20.866,39.461,8.5235,optimo
52,0,0.0,32.224,59.428,6.873,deficiente
52,3,0.075,39.242,57.549,7.3787,aceptable
52,7,0.175,53.275,55.36,7.5695,deficiente
52,14,0.35,37.618,49.608,7.3969,aceptable
52,21,0.525,30.896,48.66,7.1031,aceptable
52,27,0.675,24.895,48.175,6.9304,optimo
52,34,0.85,22.038,45.367,8.3085,optimo
52,40,1.0,21.591,41.01,8.6204,optimo
53,0,0.0,32.224,49.047,5.7584,deficiente
53,3,0.075,34.652,47.789,6.1672,deficiente
53,7,0.175,51.343,46.839,5.9219,deficiente
53,14,0.35,41.241,45.426,6.4277,aceptable
53,21,0.525,37.418,44.166,6.7881,aceptable
53,27,0.675,30.691,43.683,6.7366,aceptable
53,34,0.85,24.454,43.043,8.0904,optimo
53,40,1.0,22.799,38.84,8.572,optimo
54,0,0.0,32.224,51.061,8.133,deficiente
54,3,0.075,45.522,49.957,8.6386,deficiente
54,7,0.175,56.898,48.544,8.5871,deficiente
54,14,0.35,36.893,47.285,8.0268,aceptable
54,21,0.525,33.313,46.801,7.8784,aceptable
54,27,0.675,27.792,45.697,7.8269,optimo
54,34,0.85,24.211,43.663,8.9384,optimo
54,40,1.0,23.04,40.235,9.3715,optimo
55,0,0.0,16.4,54.5298,6.61,deficiente
55,2,0.07407407407407407,47.2,61.8635,7.38,deficiente
55,5,0.18518518518518517,47.3,48.913,7.44,aceptable
55,10,0.37037037037037035,25.9,46.1088,7.24,aceptable
55,15,0.5555555555555556,21.5,45.0222,7.49,aceptable
55,20,0.7407407407407407,21.4,40.6778,7.48,optimo
55,27,1.0,24.7,40.6091,7.78,optimo
56,0,0.0,15.8,54.8323,6.53,aceptable
56,2,0.07407407407407407,53.9,61.2579,7.73,deficiente
56,5,0.18518518518518517,17.3,47.9296,7.76,aceptable
56,10,0.37037037037037035,22.3,47.3788,7.44,aceptable
56,15,0.5555555555555556,43.0,43.9045,7.65,optimo
56,20,0.7407407407407407,26.3,43.006,7.79,optimo
56,27,1.0,25.1,43.0497,7.83,optimo
57,0,0.0,15.7,58.4867,6.75,deficiente
57,2,0.07407407407407407,51.8,60.6648,7.63,deficiente
57,5,0.18518518518518517,17.8,45.3368,7.8,aceptable
57,10,0.37037037037037035,24.5,48.1935,7.39,aceptable
57,15,0.5555555555555556,35.7,44.1319,7.55,optimo
57,20,0.7407407407407407,21.3,42.032,7.8,optimo
57,27,1.0,23.0,42.7464,8.03,optimo
58,0,0.0,16.1,54.9198,6.66,deficiente
58,2,0.07407407407407407,55.1,48.6198,7.64,aceptable
58,5,0.18518518518518517,17.9,45.0425,7.59,aceptable
58,10,0.37037037037037035,40.4,45.1756,7.3,optimo
58,15,0.5555555555555556,36.7,43.3258,7.61,optimo
58,20,0.7407407407407407,22.3,43.5203,7.59,optimo
58,27,1.0,24.6,44.0166,7.84,optimo
59,0,0.0,16.4,58.4189,6.4,deficiente
59,2,0.07407407407407407,58.6,58.6796,7.76,deficiente
59,5,0.18518518518518517,22.2,57.0309,7.62,aceptable
59,10,0.37037037037037035,30.4,48.8505,7.19,optimo
59,15,0.5555555555555556,33.9,40.8549,7.5,optimo
59,20,0.7407407407407407,25.6,41.1559,7.36,optimo
59,27,1.0,27.2,40.5338,7.74,optimo
60,0,0.0,14.0,56.1173,6.51,deficiente
60,2,0.07407407407407407,55.2,58.5424,7.83,deficiente
60,5,0.18518518518518517,31.2,58.9828,7.33,aceptable
60,10,0.37037037037037035,23.2,48.4975,7.22,optimo
60,15,0.5555555555555556,22.2,47.1163,7.27,optimo
60,20,0.7407407407407407,23.4,40.2084,7.42,optimo
60,27,1.0,24.0,39.7129,7.75,optimo
61,0,0.0,14.8,55.4899,6.64,deficiente
61,2,0.07407407407407407,48.0,58.9822,7.76,deficiente
61,5,0.18518518518518517,44.9,57.9922,7.34,aceptable
61,10,0.37037037037037035,22.3,47.1486,7.2,optimo
61,15,0.5555555555555556,21.2,45.1087,7.36,optimo
61,20,0.7407407407407407,22.3,40.2109,7.45,optimo
61,27,1.0,25.9,40.352,7.83,optimo
62,0,0.0,14.6,55.4687,6.63,deficiente
62,2,0.07407407407407407,59.4,57.9158,7.74,deficiente
62,5,0.18518518518518517,40.8,56.8008,7.32,aceptable
62,10,0.37037037037037035,17.6,45.5358,7.23,optimo
62,15,0.5555555555555556,20.2,40.388,7.42,optimo
62,20,0.7407407407407407,20.7,40.3495,7.53,optimo
62,27,1.0,24.1,40.4336,7.83,optimo
